Ciy,Postal Code,Country
Tucker,30084,Georgia
33.857/-84.216,,
Duluth,30096,Georgia
33.985/-84.153,,
Duluth,30097,Georgia
34.026/-84.147,,
Kennesaw,30144,Georgia
34.029/-84.605,,
Atlanta,30303,Georgia
33.753/-84.389,,
Atlanta,30305,Georgia
33.832/-84.385,,
Atlanta,30308,Georgia
33.772/-84.376,,
Atlanta,30309,Georgia
33.798/-84.388,,
Atlanta,30313,Georgia
33.768/-84.394,,
Atlanta,30318,Georgia
33.786/-84.445,,
Atlanta,30324,Georgia
33.821/-84.355,,
Atlanta,30328,Georgia
33.934/-84.396,,
Atlanta,30329,Georgia
33.824/-84.321,,
Atlanta,30339,Georgia
33.871/-84.463,,
Atlanta,30342,Georgia
33.884/-84.376,,
Daytona Beach,32118,Florida
29.222/-81.009,,
Jacksonville,32207,Florida
30.291/-81.632,,
Jacksonville,32216,Florida
30.279/-81.583,,
Jacksonville,32218,Florida
30.451/-81.663,,
Jacksonville,32256,Florida
30.221/-81.557,,
Tallahassee,32301,Florida
30.429/-84.259,,
Tallahassee,32303,Florida
30.487/-84.319,,
Panama City,32401,Florida
30.161/-85.649,,
Panama City,32408,Florida
30.166/-85.712,,
Destin,32541,Florida
30.395/-86.469,,
Gainesville,32601,Florida
29.649/-82.325,,
Gainesville,32608,Florida
29.613/-82.387,,
Alachua,32615,Florida
29.813/-82.472,,
Titusville,32780,Florida
28.57/-80.819,,
Orlando,32801,Florida
28.54/-81.373,,
Orlando,32808,Florida
28.58/-81.44,,
Orlando,32809,Florida
28.464/-81.395,,
Orlando,32812,Florida
28.5/-81.329,,
Orlando,32817,Florida
28.589/-81.228,,
Orlando,32819,Florida
28.452/-81.468,,
Orlando,32821,Florida
28.396/-81.467,,
Orlando,32822,Florida
28.494/-81.29,,
Orlando,32826,Florida
28.583/-81.191,,
Orlando,32836,Florida
28.412/-81.525,,
Orlando,32837,Florida
28.395/-81.418,,
Melbourne,32901,Florida
28.069/-80.62,,
Cocoa,32926,Florida
28.391/-80.787,,
Cocoa Beach,32931,Florida
28.332/-80.612,,
Merritt Island,32952,Florida
28.276/-80.657,,
Dania,33004,Florida
26.048/-80.145,,
Hallandale,33009,Florida
25.985/-80.141,,
Hialeah,33012,Florida
25.865/-80.306,,
Hialeah,33013,Florida
25.859/-80.273,,
Hialeah,33016,Florida
25.88/-80.337,,
Hollywood,33019,Florida
26.007/-80.122,,
Hollywood,33020,Florida
26.016/-80.152,,
Hollywood,33021,Florida
26.022/-80.189,,
Homestead,33030,Florida
25.477/-80.484,,
Key West,33040,Florida
24.555/-81.782,,
Pompano Beach,33060,Florida
26.232/-80.123,,
Pompano Beach,33062,Florida
26.234/-80.094,,
Pompano Beach,33069,Florida
26.229/-80.163,,
Miami,33122,Florida
25.8/-80.281,,
Miami,33125,Florida
25.783/-80.234,,
Miami,33126,Florida
25.776/-80.292,,
Miami,33127,Florida
25.814/-80.205,,
Miami,33129,Florida
25.756/-80.201,,
Miami,33130,Florida
25.767/-80.206,,
Miami,33131,Florida
25.763/-80.19,,
Miami,33132,Florida
25.787/-80.18,,
Miami,33133,Florida
25.738/-80.225,,
Miami,33136,Florida
25.786/-80.204,,
Miami,33137,Florida
25.816/-80.19,,
Miami,33138,Florida
25.852/-80.182,,
Miami Beach,33139,Florida
25.787/-80.156,,
Miami Beach,33140,Florida
25.82/-80.134,,
Miami Beach,33141,Florida
25.849/-80.145,,
Miami,33142,Florida
25.813/-80.232,,
Miami,33143,Florida
25.702/-80.298,,
Miami,33145,Florida
25.754/-80.225,,
Miami,33150,Florida
25.851/-80.207,,
Miami,33156,Florida
25.668/-80.297,,
Miami,33161,Florida
25.893/-80.176,,
Miami,33166,Florida
25.83/-80.293,,
Miami,33169,Florida
25.944/-80.214,,
Miami,33172,Florida
25.774/-80.357,,
Miami,33173,Florida
25.699/-80.362,,
Miami,33175,Florida
25.734/-80.407,,
Miami,33176,Florida
25.657/-80.363,,
Miami,33178,Florida
25.814/-80.355,,
Miami,33179,Florida
25.957/-80.181,,
Miami,33181,Florida
25.897/-80.157,,
Miami,33184,Florida
25.757/-80.403,,
Miami,33186,Florida
25.669/-80.409,,
Fort Lauderdale,33301,Florida
26.122/-80.129,,
Fort Lauderdale,33304,Florida
26.139/-80.122,,
Fort Lauderdale,33305,Florida
26.15/-80.123,,
Fort Lauderdale,33306,Florida
26.166/-80.112,,
Fort Lauderdale,33308,Florida
26.098/-80.182,,
Fort Lauderdale,33309,Florida
26.182/-80.175,,
Fort Lauderdale,33312,Florida
26.097/-80.181,,
Fort Lauderdale,33315,Florida
26.099/-80.154,,
Fort Lauderdale,33316,Florida
26.104/-80.126,,
Fort Lauderdale,33334,Florida
26.185/-80.134,,
West Palm Beach,33401,Florida
26.716/-80.068,,
West Palm Beach,33407,Florida
26.749/-80.072,,
Boca Raton,33431,Florida
26.38/-80.097,,
Boca Raton,33432,Florida
26.346/-80.084,,
Deerfield Beach,33441,Florida
26.31/-80.099,,
Deerfield Beach,33442,Florida
26.312/-80.141,,
Jupiter,33458,Florida
26.934/-80.12,,
Palm Beach,33480,Florida
26.721/-80.039,,
Boca Raton,33487,Florida
26.412/-80.093,,
Brandon,33510,Florida
27.955/-82.297,,
Lutz,33548,Florida
28.139/-82.482,,
Lutz,33549,Florida
28.137/-82.461,,
Plant City,33566,Florida
28.009/-82.114,,
Ruskin,33570,Florida
27.702/-82.436,,
Valrico,33594,Florida
27.941/-82.242,,
Tampa,33601,Florida
27.996/-82.582,,
Tampa,33602,Florida
27.961/-82.46,,
Tampa,33603,Florida
27.985/-82.463,,
Tampa,33604,Florida
28.017/-82.458,,
Tampa,33605,Florida
27.967/-82.433,,
Tampa,33606,Florida
27.948/-82.458,,
Tampa,33607,Florida
27.963/-82.49,,
Tampa,33609,Florida
27.942/-82.506,,
Tampa,33610,Florida
27.995/-82.405,,
Tampa,33611,Florida
27.891/-82.507,,
Tampa,33612,Florida
28.05/-82.45,,
Tampa,33613,Florida
28.077/-82.446,,
Tampa,33614,Florida
28.009/-82.503,,
Tampa,33615,Florida
28.008/-82.58,,
Tampa,33616,Florida
27.874/-82.52,,
Tampa,33618,Florida
28.076/-82.485,,
